time,node,species,actual_x,actual_y,actual_z,est_x,est_y,est_z,error_m,temp_c,do_mgl,ph,toa_h1,toa_h2,toa_h3,toa_h4
0,4,Tilapia,-149.727,-88.0007,-0.69307,-149.71,-87.9338,0,0.0689808,20.1,4.9,7.1,0.313609,0.467031,0.410727,0.537102
0,5,Tilapia,413.659,177.163,-0.851769,413.721,177.144,0,0.0653637,24.2,4.8,8.5,0.71158,0.418781,0.603849,0.18349
0,6,Tilapia,-363.458,265.326,-0.535066,-363.395,265.37,0,0.0773965,20.4,6.5,7.4,0.480412,0.722161,0.135971,0.556076
0,7,Tilapia,258.99,-368,-0.772418,258.932,-368.21,0,0.218174,23.3,5.6,8.8,0.475702,0.138496,0.721657,0.560118
0,8,Tilapia,-89.8617,-344.054,-0.693177,-89.8448,-344.028,0,0.0310335,21.3,5.7,8.3,0.250319,0.366817,0.581321,0.640119
0,9,Tilapia,-169.336,309.136,-0.436185,-169.289,309.107,0,0.0551088,23,5.2,7.1,0.539572,0.653109,0.209392,0.423425
0,10,Tilapia,-438.693,-30.9341,-1.34665,-438.672,-31.0188,0,0.0873808,24.8,6.4,8.4,0.279449,0.65502,0.320795,0.673694
0,11,Tilapia,37.1836,401.617,-0.416122,37.2115,401.598,0,0.0339699,20.5,4.9,7.1,0.654102,0.630952,0.326438,0.277092
0,12,Tilapia,62.059,46.0426,-0.71291,62.0704,46.1175,0,0.0757449,18.8,6.3,8.4,0.475328,0.419839,0.434771,0.37336
0,13,Tilapia,-173.546,213.198,-1.01038,-173.564,213.151,0,0.0501015,19.8,5.1,7,0.478965,0.606824,0.242667,0.444689
0,14,Tilapia,-163.638,-309.433,-0.930843,-163.659,-309.505,0,0.0744553,24,4.8,7.3,0.212618,0.419688,0.541127,0.650919
0,15,Tilapia,-332.051,-316.43,-0.435966,-331.939,-316.505,0,0.134929,25.6,5.3,7.3,0.118796,0.528822,0.517016,0.72997
0,16,Tilapia,181.981,-410.341,-1.98035,182.012,-410.331,0,0.0317358,25,6.3,8,0.422156,0.180556,0.711563,0.60081
0,17,Tilapia,312.82,243.932,-1.06924,312.754,244.077,0,0.159364,23.1,4.8,7,0.687532,0.47165,0.526673,0.165013
0,18,Tilapia,-253.189,296.761,-1.62368,-253.229,296.769,0,0.041555,20.6,5,7.7,0.514824,0.683865,0.16626,0.479783
0,19,Tilapia,-190.912,-343.42,-0.554481,-190.875,-343.346,0,0.0824893,25.9,4.9,7.9,0.186868,0.433196,0.55647,0.679943
0,20,Tilapia,-418.522,48.0918,-0.653756,-418.485,48.0967,0,0.037064,24.4,4.9,7,0.332736,0.667431,0.268752,0.638018
0,21,Tilapia,-196.487,-404.837,-1.90089,-196.523,-404.836,0,0.0366985,24,6.2,7.2,0.171632,0.432084,0.594454,0.714451
0,22,Tilapia,347.977,109.736,-1.56463,347.99,109.674,0,0.0632121,20.5,6.4,7.9,0.649789,0.379278,0.578381,0.236837
0,23,Tilapia,158.122,235.347,-0.218486,158.151,235.339,0,0.030389,21.7,5.6,8.1,0.610866,0.496576,0.429937,0.241576
0,24,Tilapia,-125.095,444.821,-0.337245,-125.108,444.843,0,0.0253511,22.4,6.2,7.6,0.634658,0.709101,0.216602,0.383431
0,25,Tilapia,117.109,-287.074,-0.0594658,117.087,-287.086,0,0.0252973,22.1,4.9,8.9,0.393405,0.247139,0.620031,0.539259
0,26,Tilapia,77.9163,-182.849,-0.752604,77.9902,-182.664,0,0.19879,20,5.2,7.5,0.394588,0.30537,0.549266,0.489455
0,27,Tilapia,-75.7369,9.45126,-0.752444,-75.7297,9.40429,0,0.0475181,20.3,5.9,7.9,0.39506,0.465463,0.385417,0.457315
0,28,Tilapia,-297.643,167.913,-0.0796643,-297.556,168.035,0,0.150163,23.2,4.9,8.4,0.424383,0.646555,0.213667,0.532724
0,29,Tilapia,-389.474,225.411,-0.0395247,-389.472,225.404,0,0.00707842,22.7,4.8,7.7,0.452117,0.718305,0.155105,0.5794
0,30,Tilapia,-171.005,-316.202,-1.02985,-170.971,-316.069,0,0.137218,23.2,5.3,8.5,0.206353,0.423489,0.543515,0.657483
0,31,Tilapia,379.057,-163.76,-1.46532,378.94,-163.78,0,0.119234,19.4,5.8,7,0.584658,0.196636,0.687681,0.411916
0,32,Tilapia,-345.803,287.958,-1.38603,-345.804,287.994,0,0.0354346,20.5,5.9,8.5,0.4969,0.723591,0.128442,0.541434
0,33,Tilapia,156.795,398.655,-1.16857,156.763,398.56,0,0.100272,21.2,5.1,7.7,0.695447,0.5986,0.405999,0.198444
0,34,Tilapia,263.868,362.923,-1.6039,263.823,362.923,0,0.0458752,24.6,5.2,7.1,0.721309,0.555994,0.479437,0.137128
0,35,Tilapia,-380.805,-104.761,-0.257483,-380.93,-104.715,0,0.133248,20.1,5.8,7.9,0.234734,0.599816,0.372624,0.666085
