Parameter,Value,Unit
nFishNodes,50,nodes
nHydrophones,4,nodes
fishFarmRadius,500,m
simTime,100,s
totalAcousticPings,1000,pings
successfulPositioning,1000,positions
failedPositioning,0,positions
avgPositioningErrorM,0.0775639,m
avgAcousticSnrDb,30,dB
totalPacketsSent,1000,packets
totalPacketsReceived,998,packets
nbiotPacketsSent,1000,packets
loraPacketsSent,450,packets
totalEnergyJ,10.7687,J
acousticEnergyJ,1.22442,J
nbiotEnergyJ,3.84044,J
nbModeAEnergyJ,2.65771,J
nbModeBEnergyJ,2.61602,J
totalAcousticEnergyJ,1.22442,J
sleepEnergyJ,0,J
avgTxPowerDbm,0.394468,dBm
batteryLifetimeYears,0.824714,years
batteryLifetimeModeAYears,0.814898,years
batteryLifetimeModeBYears,0.824714,years
compLoraEnergyJ,2.79345,J
compModeAEnergyJ,3.85285,J
compModeBEnergyJ,11.7381,J
compLoraBatteryYears,1.02163,years
compModeABatteryYears,0.74072,years
compModeBBatteryYears,0.243129,years
bandwidthHz,180000,Hz
throughputKbps,2.5449,kbps
latencyMs,565.142,ms
jitterMs,17.1213,ms
spectralEfficiency,0.0141383,bps/Hz
pdr,99.8,%
coverageRadiusKm,10,km
maxRangeM,15000,m
snrMarginDb,10,dB
ceMode,1,
repetitions,4,x
ceOverheadMs,100,ms
loraThroughputKbps,3.36111,kbps
loraLatencyMs,215.359,ms
loraJitterMs,69.9061,ms
loraPacketLoss,38.8889,%
loraPdr,61.1111,%
loraBatteryLifetimeYears,0.211093,years
loraEnergyJ,5.70382,J
nbModeALatencyMs,479.753,ms
nbModeAThroughputKbps,48.144,kbps
nbModeAJitterMs,16.4916,ms
nbModeAPdr,94.4,%
nbModeASpectralEfficiency,0.267467,bps/Hz
qoeScore,92.406,%
latencyScore,43.4858,%
privacyScore,95.2381,%
privacyEpsilon,0.05,
aiAccuracy,92,%
localInferences,300,
offloadedInferences,700,
compressionRatio,0.15,
compressedBytes,19,
originalBytes,128,
dataReduction,85,%
nbiotTimeOriginal,0.126781,s
nbiotTimeCompressed,0.018819,s
loraTimeOriginal,0.282624,s
loraTimeCompressed,0.062464,s
loraPktAirtime32Ms,88.064,ms
loraPktAirtime64Ms,154.624,ms
loraPktAirtime128Ms,282.624,ms
loraPktAirtime242Ms,518.144,ms
decompressionError,0.552355,
totalCompressed,20,
