time,node,protocol,latency_ms,jitter_ms,packet_status,collision,distance_m,snr_db,deadline_500ms,deadline_1000ms,num_nodes,farm_radius
0,4,NB-IoT,326.157,0,DELIVERED,0,34.7357,42.5873,1,1,10,100
0,5,NB-IoT,409,0,DELIVERED,0,90,43.5927,1,1,10,100
0,6,NB-IoT,382,0,DELIVERED,0,90,39.283,1,1,10,100
0,7,NB-IoT,384,0,DELIVERED,0,90,40.5982,1,1,10,100
0,8,NB-IoT,395.407,0,DELIVERED,0,71.1107,51.1783,1,1,10,100
0,9,NB-IoT,351.99,0,DELIVERED,0,70.4843,38.0465,1,1,10,100
0,10,NB-IoT,380.637,0,DELIVERED,0,87.9552,39.2422,1,1,10,100
0,11,NB-IoT,358.785,0,DELIVERED,0,80.6782,44.6397,1,1,10,100
0,12,NB-IoT,357.305,0,DELIVERED,0,15.4573,62.5402,1,1,10,100
0,13,NB-IoT,382.645,0,DELIVERED,0,54.9681,46.2509,1,1,10,100
5,4,NB-IoT,370.157,44,DELIVERED,0,34.7357,50.2491,1,1,10,100
5,5,NB-IoT,364,45,DELIVERED,0,90,43.8263,1,1,10,100
5,6,NB-IoT,371.995,10.0054,DELIVERED,0,89.9918,38.7054,1,1,10,100
5,7,NB-IoT,395.999,11.9986,DELIVERED,0,89.9979,35.0168,1,1,10,100
5,8,NB-IoT,362.411,32.9965,DELIVERED,0,71.1159,50.245,1,1,10,100
5,9,NB-IoT,371.978,19.9887,DELIVERED,0,70.4673,35.2784,1,1,10,100
5,10,NB-IoT,392.632,11.9947,DELIVERED,0,87.9473,39.0556,1,1,10,100
5,11,NB-IoT,368.783,9.99723,DELIVERED,0,80.6741,47.0362,1,1,10,100
5,12,NB-IoT,354.293,3.01206,DELIVERED,0,15.4392,63.9333,1,1,10,100
5,13,NB-IoT,334.644,48.0009,DELIVERED,0,54.9667,37.4957,1,1,10,100
10,4,NB-IoT,334.147,36.0105,DELIVERED,0,34.7199,57.8771,1,1,10,100
10,5,NB-IoT,403.004,39.0041,DELIVERED,0,90.0062,38.3909,1,1,10,100
10,6,NB-IoT,367.005,4.98928,DELIVERED,0,90.0079,34.8033,1,1,10,100
10,7,NB-IoT,385.998,10.001,DELIVERED,0,89.9965,30.0347,1,1,10,100
10,8,NB-IoT,358.399,4.01117,DELIVERED,0,71.0992,34.8711,1,1,10,100
10,9,NB-IoT,386.969,14.9905,DELIVERED,0,70.4531,34.4717,1,1,10,100
10,10,NB-IoT,384.632,8,DELIVERED,0,87.9473,39.5848,1,1,10,100
10,11,NB-IoT,358.778,10.0046,DELIVERED,0,80.6671,38.1989,1,1,10,100
10,12,NB-IoT,313.285,41.0083,DELIVERED,0,15.4268,74.1456,1,1,10,100
10,13,NB-IoT,335.642,0.997057,DELIVERED,0,54.9623,38.974,1,1,10,100
15,4,NB-IoT,341.164,7.01778,DELIVERED,0,34.7466,54.8033,1,1,10,100
15,5,NB-IoT,403.002,0.00256776,DELIVERED,0,90.0023,39.219,1,1,10,100
15,6,NB-IoT,372.005,5,DELIVERED,0,90.0079,37.6421,1,1,10,100
15,7,NB-IoT,414.994,28.9961,DELIVERED,0,89.9907,44.9137,1,1,10,100
15,8,NB-IoT,371.384,12.9842,DELIVERED,0,71.0755,44.0946,1,1,10,100
15,9,NB-IoT,390.974,4.00551,DELIVERED,0,70.4613,46.4314,1,1,10,100
15,10,NB-IoT,400.642,16.0103,DELIVERED,0,87.9627,34.5687,1,1,10,100
15,11,NB-IoT,381.783,23.0045,DELIVERED,0,80.6738,39.0144,1,1,10,100
15,12,NB-IoT,319.296,6.01141,DELIVERED,0,15.4439,66.8129,1,1,10,100
15,13,NB-IoT,331.64,4.00122,DELIVERED,0,54.9605,49.1611,1,1,10,100
20,4,NB-IoT,361.164,20,DELIVERED,0,34.7466,59.8986,1,1,10,100
20,5,NB-IoT,395.001,8.00015,DELIVERED,0,90.0021,37.9308,1,1,10,100
20,6,NB-IoT,399.997,27.992,DELIVERED,0,89.996,27.0194,1,1,10,100
20,7,NB-IoT,367.988,47.0055,DELIVERED,0,89.9824,42.4905,1,1,10,100
20,8,NB-IoT,377.398,6.01438,DELIVERED,0,71.0971,23.6082,1,1,10,100
20,9,NB-IoT,358.966,32.0083,DELIVERED,0,70.4488,47.0593,1,1,10,100
20,10,NB-IoT,401.645,1.00304,DELIVERED,0,87.9673,53.8921,1,1,10,100
20,11,NB-IoT,386.783,5,DELIVERED,0,80.6738,41.7913,1,1,10,100
20,12,NB-IoT,315.296,4,DELIVERED,0,15.4439,62.1224,1,1,10,100
20,13,NB-IoT,368.648,37.0076,DELIVERED,0,54.9719,48.2675,1,1,10,100
25,4,NB-IoT,359.185,1.97946,DELIVERED,0,34.7774,55.9677,1,1,10,100
25,5,NB-IoT,397,1.99882,DELIVERED,0,90.0003,29.489,1,1,10,100
25,6,NB-IoT,376.995,23.0023,DELIVERED,0,89.9925,39.108,1,1,10,100
25,7,NB-IoT,387.979,19.9907,DELIVERED,0,89.9685,35.3356,1,1,10,100
25,8,NB-IoT,394.408,17.0101,DELIVERED,0,71.1122,41.5834,1,1,10,100
25,9,NB-IoT,389.966,31,DELIVERED,0,70.4488,49.5437,1,1,10,100
25,10,NB-IoT,363.645,38,DELIVERED,0,87.9673,52.2098,1,1,10,100
25,11,NB-IoT,376.786,9.99673,DELIVERED,0,80.6787,41.477,1,1,10,100
25,12,NB-IoT,340.302,25.0065,DELIVERED,0,15.4537,65.8042,1,1,10,100
25,13,NB-IoT,351.648,17,DELIVERED,0,54.9719,43.7934,1,1,10,100
30,4,NB-IoT,339.182,20.003,DELIVERED,0,34.7729,56.7955,1,1,10,100
30,5,NB-IoT,381.002,15.9982,DELIVERED,0,90.0031,44.0395,1,1,10,100
30,6,NB-IoT,409.008,32.0125,DELIVERED,0,90.0113,33.5134,1,1,10,100
30,7,NB-IoT,381.979,6,DELIVERED,0,89.9685,31.969,1,1,10,100
30,8,NB-IoT,385.402,9.00598,DELIVERED,0,71.1032,48.0534,1,1,10,100
30,9,NB-IoT,380.963,9.00265,DELIVERED,0,70.4449,56.4203,1,1,10,100
30,10,NB-IoT,368.651,5.00581,DELIVERED,0,87.976,47.1946,1,1,10,100
30,11,NB-IoT,382.78,5.99421,DELIVERED,0,80.67,27.7483,1,1,10,100
30,12,NB-IoT,339.3,1.00252,DELIVERED,0,15.45,68.3819,1,1,10,100
30,13,NB-IoT,349.624,2.02369,DELIVERED,0,54.9364,41.3561,1,1,10,100
